User Link,Reputation,DisplayName,Location
"88932","24399","xandercoded","Miami, FL"
"258689","20772","Olivier Refalo","Miami, FL"
"19404","16108","Gerald","Miami, FL"
"474883","10074","blindstuff","Miami, FL"
"586621","8058","Trevor Senior","Miami, FL"
"65694","7702","Alex Nolasco","Miami, FL"
"1261399","7577","Leo Correa","Miami, FL"
"156746","7251","diego.greyrobot","North Miami"
"1024796","6442","Ravi","Miami, FL"
"3928341","6223","nem","Miami, FL"
"2476755","6125","royhowie","Miami, FL"
"398248","5760","Jona","Miami, FL"
"70104","5551","Chris Dunaway","Miami, OK"
"6703","5473","Adam Hawkes","Miami, FL"
"8305","5002","Saul Dolgin","Miami Beach, FL"
"480700","4776","Jaider","Miami, FL"
"1014217","4715","Esteban V","Miami"
"29253","4495","igorgue","Miami, FL"
"531644","4043","epignosisx","Miami, FL"
"827297","3919","milancurcic","Miami, FL"
"524530","3595","mreyeros","Miami, FL"
"594338","3058","Rodolfo","Miami, FL"
"1754020","2964","Eduardo Dennis","Miami"
"1030209","2864","Andres Olarte","Miami, FL"
"871645","2841","Anil","Miami, FL"
"603807","2626","dyslexicanaboko","Miami, FL"
"1726005","2602","Emilio Gort","Miami, FL"
"45852","2465","kwcto","Miami, FL"
"492701","2461","Scott Nimrod","Miami Beach, FL"
"138921","2329","John DaCosta","Miami, FL"
"2149023","2251","Kevin Suchlicki","Miami, FL"
"3920143","2250","Joel","Miami, FL"
"2127039","2085","tik27","Miami"
"2112866","2060","seebiscuit","Miami, FL"
"329928","1980","Chris Leyva","Miami, FL"
"695582","1909","outkkast","Miami, FL"
"389634","1844","BlackJack","Miami, FL"
"53055","1840","jyotishka bora","Miami, FL"
"1676134","1811","E-Bat","Miami, FL"
"165694","1771","DotNetRookie","Miami, FL"
"639806","1571","JoeLinux","Miami, FL"
"1708171","1550","Jay Versluis","Miami Beach, FL"
"819318","1545","Internet Engineer","Miami"
"773837","1537","Julio Bailon","Miami, FL"
"2892056","1495","corinem","Miami, FL"
"3134674","1475","Jack Bonneman","Tokyo and/or Miami not necessarily in that etc."
"2829837","1436","brian","Miami, FL"
"68055","1348","Sergio Rodriguez","Miami, FL"
"213259","1335","Steph Rose","Miami, FL"
"3276955","1324","RydallCooper","Miami, FL"
"1322693","1299","konkked","Miami, Florida"
"27613","1287","IAmCodeMonkey","Miami, FL"
"732673","1281","Josh Noe","Miami, FL"
"846926","1214","grundyoso","Miami Beach, FL"
"74283","1129","user74283","Miami, FL"
"505002","1067","alejandro","Miami"
"669611","1038","magzalez","Miami, FL"
"135233","997","Alex Morales","Miami, FL"
"1751451","980","Adrian","Miami, FL"
"117330","950","Yohann T.","Miami, FL"
"717608","940","Jonathan R.","Miami, FL"
"643761","927","Simcha Khabinsky","Miami, FL"
"183361","894","EricP","Miami, FL"
"5449364","887","Javier Buzzi","Miami, FL"
"106648","884","Overhed","Miami, Florida, United States"
"1251349","857","Andrew Wei","Toronto | Dallas | Miami"
"988704","832","Roberto Andrade","Miami, FL"
"4310091","819","Edwin Reynoso","Miami Florida"
"600467","811","brianG","Miami, FL"
"492848","784","pseudopeach","Miami, FL"
"303784","774","Isaac E","Miami"
"621","771","Jorriss","Miami, FL"
"635923","752","Daniel Lopez","Miami, FL"
"283040","749","s_h","Miami, FL"
"1150847","717","Jeffrey L. Roberts","Miami, FL"
"613635","693","Alex Fairchild","Miami, FL"
"320896","686","Carlos A. Cabrera","Miami, FL"
"190016","683","Roly","Miami, FL"
"2242622","647","ecorvo","Miami, FL"
"175586","644","Buzzer","Miami, FL"
"4387162","636","downeyt","Miami, FL"
"627868","630","Rush","Miami, FL, United States"
"1839767","620","Labanino","Miami, FL"
"1775178","606","Alex","Miami, FL"
"1178481","593","Ryan Porter","Miami Beach, FL"
"4320602","587","JoMendez","Miami"
"1236202","581","derdc","Miami, FL"
"98620","572","Nurvx","Miami, FL"
"2574811","557","Senju","Miami, FL"
"1354089","553","johnco3","Miami Beach"
"849560","523","geilt","Miami, FL"
"426469","522","sanz","Miami, FL"
"1045994","509","mmlb","Miami, FL"
"2378567","509","Hugo","Miami, FL"
"891251","493","RickDavis","Miami, FL"
"2707999","492","Victor Ruiz C.","Miami, Florida."
"1031575","471","Marcos Reboucas","Miami, FL"
"69222","469","hmoyat","Miami, FL"
"1795476","468","Tony Armstrong","Miami, FL"
"205377","457","Aniruddha","Miami, FL"
"5412293","456","Fredlo2010","Miami"
"1603399","451","dimgl","Miami, FL"
"138745","448","acidscan","Miami, FL"
"1653131","448","DanilF","Miami, FL"
"758258","447","connoisseur","Miami, FL"
"1224377","446","Salvi Pascual","Miami, FL"
"803188","443","rsotolongo","Miami, Florida"
"125628","431","Huperniketes","Miami, FL"
"910854","431","Juan Bermudez","Miami, FL"
"280914","427","redhatlab","Miami, FL"
"1219379","425","guitarsteve","Miami, FL"
"193811","419","William Daniel","Miami, FL"
"1990747","392","Tim Beaudet","Miami, FL"
"308795","392","Eugene","Miami, FL"
"653799","387","Juan Campa","Miami, FL"
"323571","383","jnkrois","Miami, FL"
"48567","381","Stephen Burke","Miami, FL"
"3483330","379","RobMillerJ25","Miami, FL"
"1163967","378","Baltico","Miami, FL"
"71957","367","Javier","Miami, FL"
"447729","365","seekerOfKnowledge","Miami, FL"
"3875230","362","jmugz3","Miami, FL"
"195864","356","rickmzp","Miami, FL"
"2562670","356","Vincent Faller","Miami, FL"
"452515","353","Lars Koudal","Miami, Florida"
"3383938","348","Cameron","Miami, FL"
"385119","345","Jon Kirkman","Miami, FL"
"2628728","336","flybear","Miami, FL"
"446377","333","Alex","Miami, FL"
"460056","327","smorhaim","Miami, FL"
"240952","322","Orlando","Miami, FL"
"147959","322","Rudisimo","Miami, FL"
"1276197","316","gastonfartek","Miami, FL"
"1883876","314","Jorge Garcia","Miami, FL"
"1422672","313","TylerH4","Miami University, OH"
"696923","311","Daniel Zeev Praça Sandberg","Miami, FL"
"3407381","308","Joshua","Miamisburg, OH"
"445652","304","NYCChris","Miami, FL"
"1435588","304","Ozzy Garcia","Miami, FL"
"2855443","289","Lesly Revenge","Miami, FL"
"3738939","274","Yoandro Gonzalez","Miami, FL"
"5280105","271","JC Carrillo","Miami, FL, United States"
"263990","258","gtaborga","Miami, FL"
"1187735","256","dfortun","Miami, FL"
"1709806","242","ModS","Miami, FL"
"2345396","233","Joseph8th","Miami, FL, USA"
"1799232","226","Dingling","Miami, FL"
"1470731","225","Joseph Leedy","Miami, FL"
"479837","221","ddieppa","Miami, FL"
"819153","209","Zinov","Miami, FL"
"465153","206","Raff","Miami, FL"
"2188595","206","Arian Acosta","Miami, FL"
"2310306","205","gadu","Miami, FL"
"1459163","204","Yuri Morales","Miami, FL"
"1914263","197","Delicious","Miami, FL"
"1787412","195","sergiopantoja","Miami, FL"
"2180879","191","Chuntao Lu","Miami, FL"
"281","190","Caleb Elston","Miami, FL"
"498555","188","marcelo","Miami, FL"
"672986","186","JLGarcia","Miami, FL"
"458551","186","marme","Miami, Florida"
"1776142","185","Aldo Delgado","Miami, FL"
"344725","184","damnpoet","Miami, FL"
"5596737","183","Abel Duarte","Miami, FL"
"482085","182","AlexRamallo","Miami, FL"
"5004592","173","Byron Jones","Miami, FL"
